date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,19281.0,Haldiram's Gupshup Peanuts,1915547.0,56.0,56.0,True,50.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/264e51e2-e3ce-4a05-a3c3-8009ccfbc1bd.png,,Haldiram's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,11143.0,Haldiram's Gathiya,1913082.0,55.0,55.0,True,14.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/498e9c42-49ff-43ed-8359-7ab98a245b38.png,,Haldiram's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,372136.0,Chheda's Bhakarwadi Namkeen,1912980.0,51.0,70.0,True,13.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/19904ec5-987e-4ad0-a433-d5ca125b323a.png,,Chheda's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,19309.0,Haldiram's Southern Delights Murukku Namkeen,1915476.0,65.0,65.0,True,7.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/cd926a6a-9a72-40f9-9627-088d1aefcb5c.png,,Haldiram's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,11174.0,Haldiram's Mathri/Matthi,1915523.0,65.0,65.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/f1b11e1a-25f7-43df-bb4a-713788933326.png,,Haldiram's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,681093.0,Let's Try Purani Delhi Soan Papdi,2187310.0,99.0,99.0,True,1.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/d11cb324-330d-4b81-bd18-2078b7f88ae0.png,,Let's Try
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,446890.0,Bikano Boondi,801604.0,60.0,60.0,True,8.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/f1fc5b13-2bb2-4f08-9571-cafec1381fd1.png,,Bikano
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,19289.0,"Haldiram's Peanuts, Namkeen",1912190.0,110.0,110.0,True,3.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/750763e7-f561-48b5-9e5a-338b884a455b.png,,Haldiram's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,19284.0,Haldiram's Kachori,1915509.0,65.0,65.0,True,7.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/8a69e20e-d763-445c-bfd5-63cd7a85e960.png,,Haldiram's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,490546.0,Crax Mast Matar Green Peas Namkeen Snacks,828866.0,51.0,55.0,True,18.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/e2977fa3-c546-4d2d-8517-156380ce5fe5.png,,Crax
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,563588.0,Sweet Karam Coffee Butter Murukku Namkeen,1258222.0,92.0,99.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/15d6f340-172e-4e32-a0f1-42bf3ead5917.png,,Sweet Karam Coffee
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,544697.0,Haldiram's Snac Lite Soya Katori,806640.0,36.0,50.0,True,15.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/4881bd9e-1dfa-4611-a4e3-e03758fad8d2.png,,Haldiram's
2025-07-25,Munchies,1237,Namkeen Snacks,29,30320.0,537912.0,Let's Try Salted Peanuts With Rock Salt,777539.0,80.0,88.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/73e404c3-ff58-4cc1-8e49-7c4d79ee36df.png,,Let's Try
2025-07-25,Munchies,1237,Papad & Fryums,80,,,,,,,False,,False,,,
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,481019.0,DNV Sabudana Papad,224021.0,43.0,50.0,True,14.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/2cfeb809-f5ae-4de9-bee9-db6c626ba891.png,,DNV
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,15558.0,Lijjat Moong Dal Papad,1396457.0,77.0,77.0,True,10.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/d9b349bc-c4a4-4afe-b130-75640f409e7b.png,,Lijjat
